"","plot1","plot2","plot3","plot4","plot5","plot6","plot7","plot8","plot9","plot10","plot11","plot12","plot13","plot14","plot15","plot16","plot17","plot18","plot19","plot20","plot21"
"plot1",1,0.833333333333333,0.833333333333333,1,0.666666666666667,0.5,0.833333333333333,0.6,0.6,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.5,0.6,0.833333333333333,0.5,0.666666666666667,0.6,0.833333333333333,0.4
"plot2",0.833333333333333,1,1,0.833333333333333,0.833333333333333,0.666666666666667,1,0.5,0.5,0.5,0.333333333333333,0.666666666666667,0.5,0.666666666666667,0.5,1,0.666666666666667,0.833333333333333,0.5,1,0.333333333333333
"plot3",0.833333333333333,1,1,0.833333333333333,0.833333333333333,0.666666666666667,1,0.5,0.5,0.5,0.333333333333333,0.666666666666667,0.5,0.666666666666667,0.5,1,0.666666666666667,0.833333333333333,0.5,1,0.333333333333333
"plot4",1,0.833333333333333,0.833333333333333,1,0.666666666666667,0.5,0.833333333333333,0.6,0.6,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.5,0.6,0.833333333333333,0.5,0.666666666666667,0.6,0.833333333333333,0.4
"plot5",0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,1,0.8,0.833333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.4,0.5,0.6,0.5,0.333333333333333,0.833333333333333,0.5,1,0.6,0.833333333333333,0.4
"plot6",0.5,0.666666666666667,0.666666666666667,0.5,0.8,1,0.666666666666667,0.166666666666667,0.4,0.4,0.5,0.333333333333333,0.75,0.333333333333333,0.4,0.666666666666667,0.333333333333333,0.8,0.4,0.666666666666667,0.5
"plot7",0.833333333333333,1,1,0.833333333333333,0.833333333333333,0.666666666666667,1,0.5,0.5,0.5,0.333333333333333,0.666666666666667,0.5,0.666666666666667,0.5,1,0.666666666666667,0.833333333333333,0.5,1,0.333333333333333
"plot8",0.6,0.5,0.5,0.6,0.333333333333333,0.166666666666667,0.5,1,0.5,0.5,0,0.4,0.2,0.4,0.2,0.5,0.4,0.333333333333333,0.5,0.5,0.25
"plot9",0.6,0.5,0.5,0.6,0.333333333333333,0.4,0.5,0.5,1,0.5,0,0.4,0.5,0.4,0.5,0.5,0.4,0.333333333333333,0.2,0.5,0.666666666666667
"plot10",0.333333333333333,0.5,0.5,0.333333333333333,0.333333333333333,0.4,0.5,0.5,0.5,1,0.25,0.4,0.5,0.4,0.2,0.5,0.4,0.333333333333333,0.2,0.5,0.25
"plot11",0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0.4,0.5,0.333333333333333,0,0,0.25,1,0.2,0.25,0.2,0.25,0.333333333333333,0.2,0.4,0.25,0.333333333333333,0
"plot12",0.5,0.666666666666667,0.666666666666667,0.5,0.5,0.333333333333333,0.666666666666667,0.4,0.4,0.4,0.2,1,0.4,1,0.4,0.666666666666667,1,0.5,0.166666666666667,0.666666666666667,0.2
"plot13",0.333333333333333,0.5,0.5,0.333333333333333,0.6,0.75,0.5,0.2,0.5,0.5,0.25,0.4,1,0.4,0.2,0.5,0.4,0.6,0.2,0.5,0.666666666666667
"plot14",0.5,0.666666666666667,0.666666666666667,0.5,0.5,0.333333333333333,0.666666666666667,0.4,0.4,0.4,0.2,1,0.4,1,0.4,0.666666666666667,1,0.5,0.166666666666667,0.666666666666667,0.2
"plot15",0.6,0.5,0.5,0.6,0.333333333333333,0.4,0.5,0.2,0.5,0.2,0.25,0.4,0.2,0.4,1,0.5,0.4,0.333333333333333,0.2,0.5,0.25
"plot16",0.833333333333333,1,1,0.833333333333333,0.833333333333333,0.666666666666667,1,0.5,0.5,0.5,0.333333333333333,0.666666666666667,0.5,0.666666666666667,0.5,1,0.666666666666667,0.833333333333333,0.5,1,0.333333333333333
"plot17",0.5,0.666666666666667,0.666666666666667,0.5,0.5,0.333333333333333,0.666666666666667,0.4,0.4,0.4,0.2,1,0.4,1,0.4,0.666666666666667,1,0.5,0.166666666666667,0.666666666666667,0.2
"plot18",0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,1,0.8,0.833333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.4,0.5,0.6,0.5,0.333333333333333,0.833333333333333,0.5,1,0.6,0.833333333333333,0.4
"plot19",0.6,0.5,0.5,0.6,0.6,0.4,0.5,0.5,0.2,0.2,0.25,0.166666666666667,0.2,0.166666666666667,0.2,0.5,0.166666666666667,0.6,1,0.5,0.25
"plot20",0.833333333333333,1,1,0.833333333333333,0.833333333333333,0.666666666666667,1,0.5,0.5,0.5,0.333333333333333,0.666666666666667,0.5,0.666666666666667,0.5,1,0.666666666666667,0.833333333333333,0.5,1,0.333333333333333
"plot21",0.4,0.333333333333333,0.333333333333333,0.4,0.4,0.5,0.333333333333333,0.25,0.666666666666667,0.25,0,0.2,0.666666666666667,0.2,0.25,0.333333333333333,0.2,0.4,0.25,0.333333333333333,1
