"","alp1","alp2","alp3","alp4","alp5","alp6","alp7","sub1","sub2","sub3","sub4","sub5","sub6","sub7","val1","val2","val3","val4","val5","val6","val7"
"alp1",1,0.541666666666667,0.576923076923077,0.652173913043478,0.461538461538462,0.608695652173913,0.5,0.407407407407407,0.464285714285714,0.461538461538462,0.423076923076923,0.52,0.44,0.392857142857143,0.535714285714286,0.518518518518518,0.538461538461538,0.428571428571429,0.482758620689655,0.653846153846154,0.555555555555556
"alp2",0.541666666666667,1,0.555555555555556,0.444444444444444,0.56,0.583333333333333,0.592592592592593,0.444444444444444,0.448275862068966,0.392857142857143,0.461538461538462,0.5,0.321428571428571,0.379310344827586,0.571428571428571,0.5,0.576923076923077,0.518518518518518,0.571428571428571,0.571428571428571,0.592592592592593
"alp3",0.576923076923077,0.555555555555556,1,0.535714285714286,0.592592592592593,0.615384615384615,0.678571428571429,0.482758620689655,0.533333333333333,0.535714285714286,0.5,0.592592592592593,0.413793103448276,0.62962962962963,0.655172413793103,0.703703703703704,0.666666666666667,0.730769230769231,0.777777777777778,0.714285714285714,0.740740740740741
"alp4",0.652173913043478,0.444444444444444,0.535714285714286,1,0.481481481481481,0.444444444444444,0.571428571428571,0.481481481481481,0.592592592592593,0.428571428571429,0.344827586206897,0.428571428571429,0.461538461538462,0.464285714285714,0.607142857142857,0.653846153846154,0.615384615384615,0.5,0.666666666666667,0.666666666666667,0.62962962962963
"alp5",0.461538461538462,0.56,0.592592592592593,0.481481481481481,1,0.5,0.62962962962963,0.481481481481481,0.482758620689655,0.428571428571429,0.392857142857143,0.428571428571429,0.310344827586207,0.464285714285714,0.666666666666667,0.653846153846154,0.615384615384615,0.555555555555556,0.551724137931034,0.666666666666667,0.571428571428571
"alp6",0.608695652173913,0.583333333333333,0.615384615384615,0.444444444444444,0.5,1,0.535714285714286,0.444444444444444,0.5,0.56,0.52,0.5,0.423076923076923,0.481481481481481,0.517241379310345,0.5,0.464285714285714,0.518518518518518,0.571428571428571,0.571428571428571,0.592592592592593
"alp7",0.5,0.592592592592593,0.678571428571429,0.571428571428571,0.62962962962963,0.535714285714286,1,0.517241379310345,0.566666666666667,0.571428571428571,0.433333333333333,0.571428571428571,0.5,0.607142857142857,0.814814814814815,0.620689655172414,0.642857142857143,0.642857142857143,0.689655172413793,0.814814814814815,0.714285714285714
"sub1",0.407407407407407,0.444444444444444,0.482758620689655,0.481481481481481,0.481481481481481,0.444444444444444,0.517241379310345,1,0.72,0.6,0.56,0.666666666666667,0.583333333333333,0.576923076923077,0.551724137931034,0.482758620689655,0.4,0.4,0.551724137931034,0.5,0.466666666666667
"sub2",0.464285714285714,0.448275862068966,0.533333333333333,0.592592592592593,0.482758620689655,0.5,0.566666666666667,0.72,1,0.592592592592593,0.555555555555556,0.653846153846154,0.64,0.571428571428571,0.6,0.586206896551724,0.551724137931034,0.5,0.655172413793103,0.6,0.566666666666667
"sub3",0.461538461538462,0.392857142857143,0.535714285714286,0.428571428571429,0.428571428571429,0.56,0.571428571428571,0.6,0.592592592592593,1,0.56,0.6,0.652173913043478,0.576923076923077,0.551724137931034,0.433333333333333,0.4,0.4,0.5,0.551724137931034,0.517241379310345
"sub4",0.423076923076923,0.461538461538462,0.5,0.344827586206897,0.392857142857143,0.52,0.433333333333333,0.56,0.555555555555556,0.56,1,0.625,0.48,0.481481481481481,0.466666666666667,0.5,0.366666666666667,0.464285714285714,0.466666666666667,0.466666666666667,0.482758620689655
"sub5",0.52,0.5,0.592592592592593,0.428571428571429,0.428571428571429,0.5,0.571428571428571,0.666666666666667,0.653846153846154,0.6,0.625,1,0.583333333333333,0.64,0.551724137931034,0.482758620689655,0.4,0.4,0.5,0.551724137931034,0.517241379310345
"sub6",0.44,0.321428571428571,0.413793103448276,0.461538461538462,0.310344827586207,0.423076923076923,0.5,0.583333333333333,0.64,0.652173913043478,0.48,0.583333333333333,1,0.5,0.482758620689655,0.413793103448276,0.333333333333333,0.428571428571429,0.433333333333333,0.482758620689655,0.5
"sub7",0.392857142857143,0.379310344827586,0.62962962962963,0.464285714285714,0.464285714285714,0.481481481481481,0.607142857142857,0.576923076923077,0.571428571428571,0.576923076923077,0.481481481481481,0.64,0.5,1,0.642857142857143,0.62962962962963,0.535714285714286,0.482758620689655,0.586206896551724,0.642857142857143,0.551724137931034
"val1",0.535714285714286,0.571428571428571,0.655172413793103,0.607142857142857,0.666666666666667,0.517241379310345,0.814814814814815,0.551724137931034,0.6,0.551724137931034,0.466666666666667,0.551724137931034,0.482758620689655,0.642857142857143,1,0.777777777777778,0.740740740740741,0.620689655172414,0.724137931034483,0.785714285714286,0.633333333333333
"val2",0.518518518518518,0.5,0.703703703703704,0.653846153846154,0.653846153846154,0.5,0.620689655172414,0.482758620689655,0.586206896551724,0.433333333333333,0.5,0.482758620689655,0.413793103448276,0.62962962962963,0.777777777777778,1,0.730769230769231,0.666666666666667,0.714285714285714,0.714285714285714,0.620689655172414
"val3",0.538461538461538,0.576923076923077,0.666666666666667,0.615384615384615,0.615384615384615,0.464285714285714,0.642857142857143,0.4,0.551724137931034,0.4,0.366666666666667,0.4,0.333333333333333,0.535714285714286,0.740740740740741,0.730769230769231,1,0.692307692307692,0.740740740740741,0.740740740740741,0.703703703703704
"val4",0.428571428571429,0.518518518518518,0.730769230769231,0.5,0.555555555555556,0.518518518518518,0.642857142857143,0.4,0.5,0.4,0.464285714285714,0.4,0.428571428571429,0.482758620689655,0.620689655172414,0.666666666666667,0.692307692307692,1,0.807692307692308,0.678571428571429,0.769230769230769
"val5",0.482758620689655,0.571428571428571,0.777777777777778,0.666666666666667,0.551724137931034,0.571428571428571,0.689655172413793,0.551724137931034,0.655172413793103,0.5,0.466666666666667,0.5,0.433333333333333,0.586206896551724,0.724137931034483,0.714285714285714,0.740740740740741,0.807692307692308,1,0.666666666666667,0.814814814814815
"val6",0.653846153846154,0.571428571428571,0.714285714285714,0.666666666666667,0.666666666666667,0.571428571428571,0.814814814814815,0.5,0.6,0.551724137931034,0.466666666666667,0.551724137931034,0.482758620689655,0.642857142857143,0.785714285714286,0.714285714285714,0.740740740740741,0.678571428571429,0.666666666666667,1,0.689655172413793
"val7",0.555555555555556,0.592592592592593,0.740740740740741,0.62962962962963,0.571428571428571,0.592592592592593,0.714285714285714,0.466666666666667,0.566666666666667,0.517241379310345,0.482758620689655,0.517241379310345,0.5,0.551724137931034,0.633333333333333,0.620689655172414,0.703703703703704,0.769230769230769,0.814814814814815,0.689655172413793,1
