"","comparison","JI"
"1","1-2",0
"2","1-3",0.25
"3","1-4",0
"4","1-5",0
"5","1-6",0
"6","1-7",0
"7","1-8",0.2
"8","1-9",0.2
"9","1-10",0.166666666666667
"10","1-11",0.2
"11","1-12",0
"12","1-13",0.25
"13","1-14",0
"14","1-15",0
"15","1-16",0
"16","1-17",0.25
"17","1-18",0
"18","1-19",0.4
"19","1-20",1
"20","1-21",0
"21","1-22",0
"22","1-23",0.25
"23","1-24",0
"24","1-25",0.25
"25","1-26",0
"26","1-27",0.2
"27","1-28",0.666666666666667
"28","1-29",0.2
"29","1-30",0.333333333333333
"30","1-31",0
"31","1-32",0.5
"32","1-33",0
"33","1-34",0
"34","1-35",0.25
"35","1-36",0
"36","1-37",0
"37","1-38",0.25
"38","1-39",0.5
"39","1-40",0.2
"40","1-41",0.4
"41","1-42",0
"42","1-43",0.5
"43","1-44",0.2
"44","1-45",0.333333333333333
"45","1-46",0
"46","2-3",0.25
"47","2-4",0
"48","2-5",0.25
"49","2-6",0.666666666666667
"50","2-7",1
"51","2-8",0.2
"52","2-9",0.2
"53","2-10",0.4
"54","2-11",0.2
"55","2-12",1
"56","2-13",0.25
"57","2-14",0
"58","2-15",0.333333333333333
"59","2-16",1
"60","2-17",0.25
"61","2-18",0.5
"62","2-19",0.4
"63","2-20",0
"64","2-21",0.666666666666667
"65","2-22",0
"66","2-23",0.25
"67","2-24",0.333333333333333
"68","2-25",0.25
"69","2-26",0.333333333333333
"70","2-27",0.2
"71","2-28",0
"72","2-29",0.5
"73","2-30",0
"74","2-31",0.5
"75","2-32",0
"76","2-33",0.666666666666667
"77","2-34",0.333333333333333
"78","2-35",0.25
"79","2-36",0.333333333333333
"80","2-37",0.5
"81","2-38",0.25
"82","2-39",0
"83","2-40",0.5
"84","2-41",0.166666666666667
"85","2-42",0.25
"86","2-43",0.2
"87","2-44",0.5
"88","2-45",0
"89","2-46",0.333333333333333
"90","3-4",0.333333333333333
"91","3-5",0.2
"92","3-6",0.2
"93","3-7",0.25
"94","3-8",0.75
"95","3-9",0.166666666666667
"96","3-10",0.333333333333333
"97","3-11",0.4
"98","3-12",0.25
"99","3-13",0.2
"100","3-14",0
"101","3-15",0.25
"102","3-16",0.25
"103","3-17",0.2
"104","3-18",0
"105","3-19",0.6
"106","3-20",0.25
"107","3-21",0.2
"108","3-22",0.333333333333333
"109","3-23",0.5
"110","3-24",0.666666666666667
"111","3-25",0.2
"112","3-26",0.25
"113","3-27",0.4
"114","3-28",0.5
"115","3-29",0.166666666666667
"116","3-30",0
"117","3-31",0.333333333333333
"118","3-32",0.4
"119","3-33",0.2
"120","3-34",0.25
"121","3-35",0.2
"122","3-36",0
"123","3-37",0
"124","3-38",0
"125","3-39",0.333333333333333
"126","3-40",0.75
"127","3-41",0.333333333333333
"128","3-42",0.2
"129","3-43",0.4
"130","3-44",0.4
"131","3-45",0.25
"132","3-46",0.25
"133","4-5",0.333333333333333
"134","4-6",0
"135","4-7",0
"136","4-8",0.25
"137","4-9",0.25
