"","PC1","PC2"
"alp1",-0.743597240995038,0.894456156892081
"alp2",-0.917935760671375,0.720044687781938
"alp3",-1.2558029593849,0.382137831768096
"alp4",-0.315549285011623,1.32256006628509
"alp5",-0.127562576748788,1.51041041725233
"alp6",-1.92833389592231,-0.290364682390481
"alp7",-1.5602608342785,0.0777614905443378
"alp8",-2.02071857830333,-0.382697634738298
"alp9",-1.24925039461725,0.388771424645823
"alp10",-1.24732847943594,0.390709339410884
"alp11",-1.09199905758043,0.546018473681324
"alp12",-1.52306335298463,0.114979790211704
"alp13",-1.12177781582433,0.516254411576491
"alp14",0.728592085401165,2.36658299941481
"alp15",-1.39774622254202,0.240200708625961
"alp16",-1.58231674569727,0.0556827554107657
"alp17",-2.00984208514398,-0.371822892093623
"alp18",-0.826724768760446,0.811314089789472
"alp19",-0.269570554796194,1.36846466616
"alp20",-1.47349979799734,0.1643755672437
"alp21",-0.657619239694538,0.980368252666939
"alp22",0.20488107081371,1.84289926514342
"alp23",-0.484414193164746,1.15360153733686
"alp24",0.103103746984705,1.74107524392019
"alp25",-1.00555865455439,0.632469517067927
"alp26",0.449011881522959,2.08707712920772
"alp27",0.642921796420859,2.28088763398062
"alp28",-1.39358728749466,0.244457097456982
"alp29",0.163450170741053,1.80144499622944
"alp30",-1.00642030805724,0.631619766886672
"alp31",-1.2378133455959,0.400126568078861
"alp32",-0.961919048378539,0.676098404276388
"alp33",0.0952703845757612,1.73329932868288
"alp34",-1.73744269535097,-0.0994239814954995
"alp35",0.126476294228993,1.76455043094202
"alp36",-0.869517165568659,0.768534293882204
"alp37",-0.442205352723759,1.19589585798556
"alp38",-0.709368666718401,0.928691312485039
"alp39",0.493476493896453,2.13148503734283
"alp40",-1.25581968271939,0.382197293487966
"alp41",-1.44180634985985,0.196116502154131
"alp42",-0.800648263381143,0.837398332272618
"alp43",-0.620157163274279,1.0178789517002
"alp44",-1.285682991251,0.352324880397054
"alp45",-1.58380418291093,0.0542387614431779
"alp46",-0.499840607734744,1.1382010675181
"sub1",1.78273403247494,1.94658427423798
"sub2",-1.31757572705066,-1.15369664616279
"sub3",-0.835208090854705,-0.671440796339843
"sub4",-0.101265892152983,0.0625445570819373
"sub5",0.577218462046481,0.741028791778666
"sub6",-0.115287967131436,0.0484445239481444
"sub7",0.204920435677583,0.368734026501346
"sub8",-0.6309879904035,-0.467204228936805
"sub9",-0.585698738737217,-0.42194988801724
"sub10",0.517426860424813,0.68122301962437
"sub11",0.389627242231608,0.553489394679348
"sub12",1.05262160449111,1.21638423037974
"sub13",-0.375711150798153,-0.211858345403293
"sub14",1.29792645456214,1.46176311892933
"sub15",0.32141562539237,0.485272019007358
"sub16",0.67744141184836,0.841237073379558
"sub17",0.566288657077286,0.730074461077491
"sub18",-0.0797103798813435,0.0841278691042884
"sub19",0.500328690791892,0.664177371860107
"sub20",-0.628290819648971,-0.464490433032053
"sub21",-1.27148978068755,-1.1076737951228
"sub22",-0.755552915338816,-0.59163895294335
"sub23",-0.70419432870031,-0.540437785759145
"sub24",-0.613541169269084,-0.449701806378857
"sub25",-1.39976761372007,-1.23597892977895
"sub26",0.31873360656331,0.482566604174844
"sub27",-0.744343134496371,-0.580501081229444
"sub28",0.164197295658012,0.328013940305295
"sub29",-0.0136842127602753,0.15019064740325
"sub30",0.136659995617702,0.300464556013888
"sub31",-0.717106288383078,-0.553226334945181
"sub32",-1.5499501118406,-1.38606664586116
"sub33",-0.851684521460755,-0.687978250433762
"sub34",-0.236953192938983,-0.0731127506227385
"sub35",0.0702967572081195,0.23402844152177
"sub36",-0.00842202266110179,0.155343828488112
"sub37",0.546321827589237,0.710116529752103
"sub38",0.185298457042777,0.349109449572128
"sub39",0.961211825090666,1.12515037860375
"sub40",-0.196535508610121,-0.0328179203948739
"sub41",0.770873479439378,0.934681237806529
"sub42",-0.582342103906121,-0.418463853851577
"sub43",-0.943050053194268,-0.779245297260983
"sub44",-0.139977308313054,0.0238396852289787
"sub45",-0.991428909419753,-0.827595096332812
"sub46",-0.350838840341486,-0.187028582375943
"val1",0.30772496560473,-1.49405076786425
"val2",0.612779665808074,-1.18901663940985
"val3",1.01928049820159,-0.782527028372774
"val4",1.32318780281925,-0.478679716759968
"val5",1.05159485292225,-0.750143969228106
"val6",0.773955943506255,-1.02788141143264
"val7",0.283004295150243,-1.51875599183593
"val8",0.623829831710674,-1.17805362299665
"val9",1.54156133245776,-0.260217849729565
"val10",1.60365074395268,-0.198198194417611
"val11",1.09361295002405,-0.70828637944008
"val12",0.754341901704614,-1.04755990799973
"val13",1.10008695645794,-0.7017752148859
"val14",1.61654498449461,-0.185258722546338
"val15",0.849875648957898,-0.952009520854329
"val16",0.869232359546867,-0.932564434877331
"val17",0.718734911567272,-1.08310350427176
"val18",0.64836020597601,-1.15345293588081
"val19",1.06704606619267,-0.734740400077758
"val20",0.253792732835117,-1.54800354904595
"val21",-0.43249098448536,-2.2343063345174
"val22",-1.01655101109137,-2.81835113547896
"val23",0.136109003275069,-1.66579446479548
"val24",1.75823996608752,-0.0435679643341612
"val25",-0.269097364536034,-2.07095353601535
"val26",0.735344376236404,-1.06650086620696
"val27",1.07873383601642,-0.723103571648134
"val28",1.03759494479069,-0.764240810039817
"val29",1.976072195128,0.174226749315917
"val30",1.35872542589827,-0.443085699917699
"val31",1.28870067286623,-0.513196220437602
"val32",0.0202897163476921,-1.78160584711753
"val33",1.18874893168577,-0.613023389394503
"val34",0.353198275450782,-1.44867154173851
"val35",0.855014925410648,-0.946772254752962
"val36",0.64464653256747,-1.15716832804937
"val37",2.6017392180467,0.799913543052759
"val38",0.900938625348155,-0.900859418880103
"val39",1.42143917938897,-0.380383940159888
"val40",1.88292874235105,0.0811065683894449
"val41",1.16886083509307,-0.633010603992506
"val42",2.0039094577673,0.202040912883587
"val43",1.0199698168951,-0.781861583041331
"val44",1.19606047208922,-0.605740063933121
"val45",1.30614325551195,-0.495734537380627
"val46",1.02091003798564,-0.780911657682113
