"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90"
"species1",-0.0271258157195038,0.137847421815159,0.0453863853291302,-0.158108112416262,-0.106867462570928,0.10318850148521,-0.0316508301720078,0.105488567004002,-0.193450941063344,0.168008311091675,-0.068975754823032,0.130905602788386,-0.0123556290463443,0.044370903804416,-0.172541922160422,0.0578934412508649,-0.22899219835644,0.145539741921819,-0.000190520476419548,-0.200020051765083,0.0201697234450616,0.0237141490965376,-0.0740127722836683,0.0159726271957661,0.117728524229452,-0.0751313247265082,-0.140257264157495,0.0148720077111788,0.0620387997412249,0.154327653312075,-0.104193562860231,-0.231543355400789,0.0105819665731849,0.0715270906054782,0.0599980613127838,-0.0455691735689205,-0.0777409878916628,0.0478307383195698,0.285010338415565,-0.188476961180048,-0.00827872050694362,-0.0142076421649477,-0.0451591941835958,-0.0888116988244393,0.0159248595690344,0.156994414251928,-0.0346842088555147,-0.0289329014925923,-0.100200956373074,0.0460838983347626,0.0320627570860273,0.0933611133500502,0.0810915156719575,-0.135095847368805,-0.164305846792396,0.00654062420034057,0.116093073987502,0.2331185132974,-0.14085500667847,-0.0462636387743093,-0.0736522276683994,-0.0256454301403673,0.107550428532901,0.0035584245320852,0.0825997452707144,-0.0391188197777235,-0.0448139964497767,-0.0284490877881339,-0.0577415654616604,-0.0867510084868909,0.0999306532807471,0.310123416365533,-0.0125448242896897,-0.067102407268989,-0.0603808047404721,0.00368485429278878,0.00702446358152262,0.0973700553105927,-0.0596237062036654,-0.0701456232030749,-0.0406654602939935,0.0765802555258942,0.0332471065966647,0.0190845906366682,-0.0631595620384163,0.0439426000611639,0.0222080157482431,-0.0442631782717805,-0.0100054546843447,0.134202907567087
"species2",-0.0209552850074299,0.153646692104818,-0.161908803587787,0.0510063479829496,-0.0870126363419454,0.035591655173708,0.054999857949243,-0.253376183381447,-0.00625346114317538,0.0288867418632156,0.0388596247994437,-0.0697879485059546,0.0681163089315076,-0.0254212210100091,-0.0468390241013507,-0.0719372507418732,0.104662732305936,0.036098651362401,-0.0819836841574444,0.100595149819332,-0.0644898385599458,-0.108340928497459,0.0557188554366583,0.0269552940771959,0.00243837919769696,0.0654229154747925,0.0665564353732999,-0.0939742831146144,-0.00743350871931801,0.0892042013244267,-0.0522804485268994,-0.0808923479484949,0.102769844746882,0.0350097140149026,0.0161613877891972,0.125943038228882,0.135126032907719,0.0485053821854101,0.0503484074880563,-0.252934127078053,-0.194714618216644,-0.132590828596917,0.0315074063560365,0.149408503159384,-0.0185032676824095,0.0481890135905082,-0.163061534391551,0.15888155114869,0.110861920470612,0.126504111690926,0.127205181399934,0.169923244187035,0.130971553174052,-0.147248108592515,-0.0837823154800869,0.00770972243509942,-0.0114167289414943,-0.00356084893051828,0.0147420066958951,0.0840365815321149,0.0860807528115843,-0.186694635397285,0.244001049802552,0.0201053754655973,-0.121721378527888,-0.186678666781944,0.0217181044629005,0.0577565578567132,-0.121057699842882,0.0425414785694852,-0.221558138065609,-0.120652985636044,-0.215879443146376,0.0732349490152323,0.0663923052784607,0.0638489614916894,-0.0474507961899263,-0.0857652332876454,-0.0778978225828002,-0.00370949999144905,-0.0157502315463917,0.0240132624351602,-0.0253519093191616,-0.141499628433892,0.088520998942632,-0.171545190273814,0.128450712884862,-0.0411667145959484,0.0296896895039415,-0.0521599273449805
"species3",-0.00247003207170321,0.150502425089482,0.0627666491338673,0.205763526327879,0.0778735005383547,0.0763260812821283,0.164002201305896,0.00335694296004638,-0.116186938881799,-0.0144530720715248,-0.143856117505134,-0.0516628563217379,0.00870176186906762,-0.0291099650850704,-0.0111163950680067,-0.195064016175505,-0.0866534500896731,-0.125419471108292,-0.0292299295758065,0.0495898090398162,-0.0985402743913322,-0.00695674871488208,-0.0227231955795803,0.024987847347608,-0.206977189687048,0.125255903697212,-0.0356436115333462,0.0701548583259102,-0.076123740468198,-0.084761422069575,0.11814069273902,-0.0500232205830657,-0.265319548882625,-0.100344931150236,-0.119221730660869,-0.0918125847161402,0.0197877619551744,0.0356369699956183,0.0144964837143715,-0.132244420402402,-0.108726847019561,-0.0514771296626388,-0.0286084668336511,0.0610058593986012,-0.139911491190805,-0.0904771532740778,0.143546899420078,0.0926970133244064,-0.0573118708240965,-0.01337358371253,-0.0113875307139794,0.0458777664937915,0.103647269612445,-0.140059754862065,-0.19035540398856,0.0467316672739279,-0.200114558629681,-0.0845421718031406,0.0220021037676413,-0.0354730042294472,0.0455601050539969,0.0750606585520259,-0.0964294684340891,-0.0168682216502624,-0.245982394056968,0.118310932857003,-0.0064854863764456,0.00850132599122664,-0.208585318391293,-0.0862711356301838,0.151110015660524,0.0785984607039222,0.233991142234764,0.0239535641903515,0.126550892909487,0.0417569189321916,0.0237296620302842,0.233477228833849,-0.0136259092480604,0.0241125232176739,-0.0562812898400079,-0.0755832686413746,0.0516436383576348,0.0631743291139808,0.0746597956324925,-0.0874387799754241,0.036297148514414,0.0161948497842829,-0.0275375455739435,0.175325499850839
"species4",-0.0215577520041874,0.145009958480689,-0.0277168198673967,0.0745068711439165,0.12332723878852,0.118547232504906,-0.13596372414075,-0.0944301964420627,0.0413191137383719,0.243841491500972,0.165058233141744,0.0422370470775026,0.0499442575470199,0.123363375316053,-0.156606647883066,0.019926115100012,0.114447311177775,-0.110711501308845,-0.0368091041415444,0.220316561404994,-0.0666702053665762,0.100301711699407,-0.0640196929508301,0.0014473045630005,0.0798902965701616,0.129602658237522,-0.133084030974715,-0.00271343462499615,-0.044078513671005,0.0136476961297837,0.0692604596172864,0.209208061799044,0.198687903637618,0.101587962449382,-0.0702421081973872,-0.042056411817233,-0.0568003981993815,-0.135060445963957,0.125825457485315,0.0156207535301737,0.0788765964235266,-0.175641065509355,0.0167871598236984,-0.0436095017500838,0.0542157428496365,-0.0257331137735278,0.0132104997915763,-0.0713567358001782,-0.103818156812582,0.110686494231851,0.0385869805904036,0.0890657861987609,-0.00619332548646676,0.0747397405087538,-0.0645977373420456,0.00195154597086505,-0.0310343822568998,0.155048004745514,0.0732364963186817,0.141798583759665,0.0977252509815481,0.0686477016003819,-0.0318477690909071,-0.11847535479629,-0.100451295284207,-0.108528950176857,-0.241532929571386,-0.228646857214767,-0.0781288802641246,-0.150052439923337,0.0923726696503943,-0.065040549344544,0.0191404938478093,-0.0865253289782391,0.011483645300964,-0.0200430839431144,0.185344115979465,-0.00339266075362789,0.133985478827123,0.0448137913677481,0.086137260800963,-0.0394002692507837,0.0227561662704711,0.16710542687726,0.0482142569518464,0.0728105575560693,-0.10304928549384,0.101743426845432,0.128923900557316,-0.11758451263315
"species5",-0.0227256346974302,0.157795373910267,0.0937819937012643,-0.0448059516052157,0.109876547607354,0.0439679739486963,-0.0856144472071834,-0.0772790056135922,0.00530237094598437,-0.12830577953638,-0.075618201496676,0.0121903765677574,-0.12897895407513,0.193424540620505,0.00436804155462832,0.101772496715164,-0.036212017977819,0.0649243179518613,0.00314905912436112,-0.027387678620993,-0.0742352319938507,0.03426147908651,-0.131797642419135,0.183612842236787,-0.0353846264576566,0.192652163972923,-0.0339914170413464,0.0416499580891275,0.111816461390392,-0.0287300171387467,-0.0577959768432929,0.0038339930747773,0.0187070880203623,-0.041889461876392,-0.020434140101377,-0.0251282161870327,0.111906539248579,0.119027797740429,-0.0701568943959953,0.154212974758933,-0.0583770492356079,-0.0131750903943054,0.0142685914297496,0.193255326943988,0.170200454287556,-0.0627490859297205,0.0378881730685974,-0.161882086444579,0.0781440752234305,0.21242114127773,0.0100305005307337,-0.0354704530579408,-0.188808876272261,0.0655881221284947,-0.0423401629358797,-0.156552518550466,-0.0699547755738565,-0.0816252354881895,0.0681291672354912,-0.100072804931046,0.0446299787902501,0.0608430123240892,0.120261942102917,0.00776602908382773,0.1127596017703,-0.220421875909214,0.0166936437242742,-0.00140915244291166,-0.00452785790620099,-0.149913100996218,0.147471011505431,0.0667712316975667,-0.125843517446038,0.0881874160623684,0.108969362950756,-0.049095458081916,-0.276122177546698,0.08152286607741,0.0777486973369045,0.069853589228705,-0.20121496345901,0.0968611217693346,0.0549315315797249,0.132160419275456,0.0927873621134337,0.0484677215765298,0.133663338685035,-0.0815055028338288,-0.22650351730317,-0.0554915711695393
"species6",-0.0349074883807112,0.141306451800348,0.126128010299684,-0.125454894014865,0.0244479604105665,0.0816989996568251,-0.136393370644806,0.269635993813944,0.0196023663860435,-0.112729296670541,-0.0761370241884702,-0.0585558098105541,0.112403700569487,0.00868183021620596,0.0828361425704218,0.0363065058603397,-0.251748107875152,-0.203410004193625,0.109134988800736,0.0822792744168916,0.000243954155343727,0.0133978328064283,0.0142362334440621,-0.0694295379766632,-0.033540580581255,-0.0142010652506868,-0.0436886181990805,-0.0485901160241832,0.0299057840422881,-0.0950351585058028,0.0467771916045893,0.0767125739575749,0.0941539602703971,0.0985054018632647,-0.0826347863328775,0.044075148257762,0.0461947016381618,-0.146476841876344,0.199285383622097,-0.0528721947538981,0.166122477765021,-0.0129510786349394,-0.0739399867590037,0.0889340055430296,0.0307546300524272,-0.00383341027628578,-0.235416912594338,-0.145577768045558,0.0633337634114453,-0.0184988996232653,0.0209646904648319,-0.0444725189285222,0.15141389324202,0.153614211870229,0.114285165996644,0.240437970033359,-0.042922857826622,-0.0742671688138706,0.0436532818027223,0.157207001168786,-0.00921600300685107,-0.0368896591997572,0.00125592400897236,0.0149917582891631,-0.176114545180516,-0.0934761478713662,0.22008030339071,-0.00241898177449123,-0.161028489303917,0.0318359448902605,0.0111736986658008,-0.0988019944333864,-0.0194517933246724,-0.0661714157485294,-0.0491275326281596,0.037458032864902,-0.202470081304357,-0.0874719105533957,-0.190799208548444,0.0476976240329242,0.0399274007334552,0.0728981029365539,-0.0256785839953379,0.0922360012100608,-0.0623641221713473,-0.0833146737905569,-0.01283738208566,0.0166196378150253,-0.13822071573606,0.117486368734808
"species7",-0.0182339799599488,0.138681631142016,0.163351389917658,0.0670655830554539,0.064027629597103,-0.220510482377001,0.209557635192345,0.112118105180124,0.110874671780427,-0.0995975617558316,0.228272427443955,-0.0731900063255647,0.0593152621210792,-0.0360201862940208,-0.0249866651630558,-0.0266984655367704,0.0539890097571534,0.051831677683457,-0.023215312200795,0.0920635445712473,-0.0115570843937129,-0.0547299052955192,-0.154641012369252,0.19364441077824,-0.13942384508054,-0.15601442189892,0.00403184187912381,0.0582856279263827,0.134970265738998,-0.108910908345668,0.0373165269594441,-0.0285471552942163,0.0990909421613368,0.0977001923477367,-0.0662849451535503,-0.190048001839525,-0.207435872477811,-0.0789531339239153,0.155380881676284,0.0276764250108702,-0.153625107998548,0.030950273714998,-0.0124752948085245,0.031086465158269,-0.019721482411215,0.144310697456984,0.0549470437817495,-0.144492565154133,-0.0410267361391707,-0.166289527486343,-0.0213921246038026,0.159274832720224,-0.050054597642861,-0.0552256974095106,0.0724639425929793,-0.0941694577628565,-0.16966673689473,0.0257577362281492,-0.081233819631826,-0.0595332270747884,0.027383424085897,-0.00622764775743955,0.191218154627383,-0.258067882810495,-0.0184349729900413,0.0123227832877062,0.0614719152307436,0.0937608371765428,0.0758814446447866,-0.0432893529699338,-0.0742668267904815,0.06926353414815,-0.0212946133168849,-0.00303467189615049,0.132791477050313,0.126088899889224,0.00427252446213327,-0.163496714684918,0.120118239729171,-0.0408463458249145,0.0943839331903246,0.110000044901084,-0.0160253020699492,-0.0849224599457435,-0.0691615432289333,-0.0330321429604318,-0.130938398621022,0.031887996728315,-0.106633829221966,0.0249753636308818
"species8",0.0010517436295236,0.148306402111041,-0.0925896986674498,-0.0170557541446883,0.0835051102076931,-0.067692855013756,0.0931015094449014,0.0844898025242402,0.0759315016725174,0.0267825386058186,0.0810937541115486,-0.00919433106020733,-0.106959488422477,0.0710634003252306,-0.250709276293986,-0.215010968578191,0.124997105578347,-0.0692078827613231,0.229090526666078,-0.13748452744704,-0.0593008706158328,0.239131233269669,-0.0677650308410257,-0.225445843049198,-0.140382060485289,0.0173250422389357,-0.0462971012823008,0.0644744623661358,-0.108454751878234,0.0303277193382161,0.0224678932333542,0.079725789195712,-0.075994489628166,0.118915066296429,0.0517481549608458,0.00509572829352997,-0.01434979278989,0.130015392640913,0.0912544841561675,0.07432873149499,-0.00661831879925215,0.153048547589604,0.127584625841592,0.0661368227994777,-0.0449735076702015,-0.0761120205850639,-0.0896158156922753,0.0867005084720093,-0.0700808064807016,-0.0161252513289471,0.135816748796711,0.0222417988344528,-0.104387059734481,-0.0122023641514364,0.000243104650378356,0.0889875937191324,0.0771549820474227,0.123375124556724,0.00309729941596042,0.0187719426797784,0.111678168727095,-0.119291560759163,-0.136014798718491,0.0701766523309579,0.00070217179321698,0.0335181024582384,0.119772534063003,0.0803726979175629,-0.043210685715214,0.0310616703160855,0.00444624454434472,-0.0246749051099337,-0.00401825599243384,0.160741900200897,-0.00157781986788897,-0.0528446022055375,-0.0464098093423905,-0.0455399247009849,-0.00855801574226479,-0.367480280682569,-0.040039236916805,0.105925345237455,0.0439770731861527,0.0583367863087544,-0.037684682395143,-0.00377371035549991,-0.0684467003066164,-0.159573474784896,-0.12020598631821,-0.236457461866822
"species9",-0.00535492975564446,0.155353285176179,-0.0265212090936642,-0.0149373713267933,-0.0378952473966111,-0.00310943958238274,0.103831666252445,-0.005625580469208,-0.0838467613409923,-0.194950135155422,-0.023738316894124,-0.070329947913758,0.0222337234438117,-0.00558028148338813,0.0541882419141519,-0.103813606394354,0.0437103996518454,0.0211903753396782,0.254241723596638,-0.0204095102112757,0.193887872829781,-0.177757054039664,0.051634156809226,-0.140182092880757,-0.0419090661147323,0.0525138905391427,-0.0609018740779489,0.102460516627014,-0.107469101343061,0.117418094945598,0.158809343166755,-0.123844245727433,0.159131342638525,-0.178535261738476,-0.0429536366222451,-0.0591531596204298,0.158512675843219,0.10847844708163,-0.0556998337641016,0.087384332545735,-0.108313833965479,-0.0721656153430363,0.0690530733237827,-0.135746237058988,0.112841875818606,-0.0168294863695096,0.0162887467278143,-0.118630965061632,0.092173987709248,-0.0342086643398085,-0.0811246509193471,0.216144581612821,-0.0472086753448894,0.0587038580924884,0.109799199728403,0.0113132246756731,0.0728908121426642,0.10299969798687,-0.122491619301871,-0.0672463840139045,-0.116613345093993,-0.00836046813448509,0.0957996246060192,0.00372208303055037,-0.122928600568928,-0.0440406410804889,-0.0453884005149822,0.0934865858253053,0.0226840728725253,-0.0237778038629703,-0.0960699151406335,-0.167830076285469,0.00584862844988624,-0.170281650116471,-0.0202552906259992,0.0887175021796393,0.143751368069623,0.138476730647572,-0.0824890471595585,0.0531155677936003,-0.0681622783650077,0.100433762211165,0.100471337402633,0.309421292623362,-0.0994893935269004,0.203723712697541,-0.0212382151135709,-0.0220554432194809,0.105625483793812,-0.0190479657848363
"species10",-0.00700542416667602,0.149354356502587,0.166965720847078,-0.0539891592890419,0.120996515965322,-0.00478606927418851,0.0323428391610135,-0.142341091766298,-0.111272998119902,-0.128946194029759,-0.0874947460128633,-0.114545003633465,0.00214422878953293,0.0673422567615988,0.124840397290455,0.123039209204316,0.041577428493215,-0.0907232428545355,-0.25516348157133,-0.0428418683130099,0.0613633377470259,-0.131240240704384,-0.0172807195375707,-0.091140118061354,-0.0985399674096156,0.040248561520971,0.0281224731207807,0.13143083311806,-0.144928549365041,0.0737978220367979,-0.144247437386409,0.0443295892783226,0.0274995440879694,-0.0078842026760564,-0.000808131279979155,0.144905446775882,-0.0623131959855741,0.0185098291615933,-0.120165719450769,0.171166423854211,0.0879598351052133,0.10332038542324,-0.15779180031306,-0.122976618275442,0.0186114758621389,-0.0229756082654675,-0.040335854745554,-0.0773874506646559,-0.250457270689182,-0.114693834063331,-0.0727383523150418,-0.0321852273448648,-0.150168037168167,-0.205355931237332,-0.017169655710247,0.0934452334694889,0.0898299071824169,0.0167347768992444,-0.0217017081911971,0.0166926976205766,-0.0124496484620526,-0.249645255532526,-0.0664722800553573,-0.0843805460225934,-0.011780766514392,-0.209550421207001,-0.0092811174697871,-0.0529155813337633,-0.103699464895366,0.0693761750677685,0.0467701805725922,0.0964126060488475,-0.063635105545003,-0.136963156329138,-0.0298892354665304,0.0561952100030998,0.124665623526637,-0.0787636232788553,-0.0579883735357498,-0.136114945233692,0.0442568848525327,-0.0371984611626715,0.212994897701999,-0.0591834911442449,0.181168400497769,-0.172394711199961,-0.049544416201432,0.0424820372529704,-0.0368383873520199,-0.00946400564158173
