"","species1","species2","species3","species4","species5","species6"
"alp1",0.198233562653645,0.476511100286658,0.30025467295324,0.627986755906836,0.834345897111286,0.675426353159618
"alp2",0.569357310527665,0.420201890349749,0.372349770717443,0.563595247723681,0.764787479710447,0.400482250196177
"alp3",0.771110294170764,0.311091340267833,0.320636435207256,0.841930445163538,0.645908864665857,0.663822847408491
"alp4",-0.0864244256573373,0.614745470682211,0.344865655438545,0.567967682735646,0.485425153472301,0.268947161757581
"alp5",0.607281172202762,0.675428161867073,0.110483235386901,0.614648134471916,0.471458314776029,0.415457087842911
"alp6",0.626513973039393,0.0939220975936129,0.147869716396328,0.30350079096601,0.631579367452555,0.951654520700709
"alp7",0.356315009966338,0.212788903581264,0.770544879358442,0.38445035767585,0.605152647479495,0.226822663919694
"sub1",0.325503015231992,1.05428953058651,0.539262203717728,0.912085788648231,0.293865237032294,0.476520908071078
"sub2",0.178786536068965,0.0531415060555043,0.538043029605132,0.756732803840262,0.417242479597903,0.588252967532793
"sub3",0.747489753435853,0.208889715749535,0.683386721174372,0.525809733941014,0.350089860958759,0.168898867869062
"sub4",0.527943958331777,0.445901452989466,0.276406623421844,0.217003552117371,0.564756985771652,0.232365337124402
"sub5",0.528551917840101,0.664997744335083,0.750478793755806,0.297618323659143,0.356279511175396,0.668575549923278
"sub6",0.924549130945327,0.441360854450464,0.228928419745604,0.587968672737008,0.228085041212936,0.624636447057485
"sub7",0.511961404863411,0.544775713738881,0.580929195200355,0.422060819216175,0.281040403888392,0.609017307504001
"val1",0.272600298225464,0.260609114795271,0.462260778863936,0.188406735126472,0.635486002218712,0.924214197787842
"val2",0.377257238929083,0.359114121354806,0.744294864333796,0.700363413318155,0.548347762053199,0.795036595186415
"val3",0.434344890495132,0.490379644015108,0.568221545985586,0.145974101241897,0.253481880898979,0.420918338959681
"val4",0.739553959929971,0.588507768390182,-0.168846187425082,0.475492544630634,0.388272219874218,0.493576129922509
"val5",0.084817251919586,0.500825695274902,0.271274922973959,0.804970316733035,0.464744304351204,0.154458694698987
"val6",0.586094038652932,0.411154571022799,0.657920294463645,0.406422536936865,0.523467288828881,0.412459745559583
"val7",0.194017692604537,0.252628804673263,0.0317413727758047,0.402465412602207,0.194336090612627,0.806614950142051
