"","species1","species2","species3","species4","species5","species6","species7","species8","species9","species10","species11","species12","species13","species14","species15","species16","species17","species18","species19","species20","species21","species22","species23","species24","species25","species26","species27","species28","species29","species30"
"alp1",0.887929342506146,0.899060444011466,0.89201018691813,0.905119470236273,0.913373835884451,0.907017054126385,0.896458608870782,0.904189744912183,0.889317101552918,0.893459186251044,0.487650454608163,0.506134118195446,0.507990949469654,0.504521828012071,0.472243024088054,0.520089065718871,0.490326691769139,0.495281241883068,0.506837191029114,0.499056798869292,0.498147860236119,0.50450237887258,0.490118585128529,0.503519738310977,0.495120673320412,0.476508627182786,0.494880674776431,0.50167536272743,0.496625120016116,0.490406497794573
"alp2",0.902774292421107,0.89680807561399,0.894893990828698,0.902543809908947,0.910591499188418,0.896019290007847,0.89324705643127,0.895717363784737,0.900155903041497,0.915902584228739,0.499100130238476,0.48236029585206,0.479065970693502,0.4967799137281,0.503438906856953,0.512729638013519,0.513740292678011,0.499816088706821,0.481722212156071,0.509619939792475,0.514331624572463,0.482695276125681,0.497838388142053,0.503891365007957,0.493650593868958,0.500996860928588,0.505459568966863,0.500739235007294,0.496224414510458,0.482933127199371
"alp3",0.910844411766831,0.892443653610713,0.89282545740829,0.913677217806542,0.905836354586634,0.90655291389634,0.895920787254517,0.90168618136077,0.892888583312363,0.899794642059681,0.502764779451844,0.50446814673267,0.505557015192477,0.498165050533417,0.495746421225253,0.497582431190028,0.501254072674608,0.501384089869911,0.506110626346088,0.490827524705045,0.501151342812204,0.485863701956272,0.503364567699059,0.507112168568504,0.512105386805945,0.482476975792315,0.509050149671351,0.508593072165397,0.510986834775362,0.486315608321417
"alp4",0.876543022973707,0.904589818827289,0.893794626217542,0.902718707309426,0.899417006138892,0.890757886470303,0.913074860430176,0.887414589531994,0.901368089402561,0.910920047839366,0.491774961301251,0.512808613563398,0.502400739547127,0.501902295865514,0.497723022093538,0.507602864109516,0.486036894079957,0.502762965574076,0.486936107795269,0.509515622100496,0.499855671722244,0.506027749198121,0.512248214927054,0.468539090967638,0.487108805433251,0.498818210756116,0.493696879284357,0.514717803017576,0.50163068040971,0.502864033287321
"alp5",0.90429124688811,0.907017126474683,0.884419329415476,0.904585925378877,0.898858332591041,0.896618283513716,0.906996380068118,0.8756674886294,0.905957392116493,0.907671550622759,0.494870338649603,0.492225983821207,0.498090048830585,0.508441620089277,0.497200675887517,0.504445113134883,0.500080691875005,0.486535776456777,0.500268414725955,0.487936705350191,0.507704799158794,0.495196969958442,0.518516578181932,0.499662478169009,0.507973727892494,0.505205231637887,0.501478938657983,0.49695087793102,0.50881940649674,0.509424440354526
"alp6",0.905060558921576,0.883756883903745,0.885914788655853,0.89214003163864,0.905263174698102,0.918066180828028,0.91662898591854,0.925152199084666,0.906622801684173,0.895937205280607,0.502358328838563,0.501536346966394,0.492985092714842,0.515216009038664,0.49732140694731,0.489621911770002,0.503961637231531,0.483103767922388,0.507181604920341,0.51323541534547,0.504759986476775,0.502641542075636,0.496675291463291,0.500361782676592,0.492266937526489,0.492417651314922,0.510414579551858,0.502239189066421,0.485053125948823,0.495928814317261
"alp7",0.894252600398654,0.888511556143251,0.910821795174338,0.895378014307034,0.90420610589918,0.889072906556788,0.912598292325818,0.89619058396119,0.900580368783487,0.911317379716797,0.507208376010445,0.492115710211792,0.481348969100088,0.497293062499759,0.506533924605034,0.509715789036278,0.481403892581366,0.503538772404855,0.504239866608025,0.500077068290613,0.500097357500621,0.505697628562907,0.502533934512155,0.505571859487277,0.514440160755173,0.49403632590367,0.512319099418272,0.49214936582255,0.500052891135225,0.502066493927522
"sub1",0.49302012060928,0.52217158122346,0.501570488148709,0.516483431545929,0.491754609481292,0.499060836322843,0.494201433204258,0.495644398347315,0.508321631655256,0.514666961520315,0.895314839113333,0.896405944493689,0.89623801210756,0.887872611867878,0.905238338860588,0.900681433893952,0.916053940194959,0.908888727092168,0.896977400491598,0.891915559660141,0.498429760826472,0.495128878119772,0.485490981800804,0.506736592716836,0.496711339986732,0.502458505312869,0.503661951171423,0.498728633488503,0.507642694574873,0.512560589841675
"sub2",0.487151461442759,0.48212566024222,0.501521721184205,0.51026931215361,0.496689699183916,0.503530118701312,0.49888036072088,0.508987601158135,0.50164419506163,0.500168795455856,0.890615970434712,0.900198664931578,0.900398412489866,0.906562357078038,0.890497008596191,0.915579761103094,0.894931987676928,0.916676687039625,0.893057403130263,0.901591262582529,0.498761211977007,0.502211615274809,0.494953833419484,0.498201715398438,0.506943570054715,0.507472841521544,0.500729087351011,0.505934337133307,0.510707639879975,0.502475645214917
"sub3",0.509899590137434,0.488355588629981,0.507335468846975,0.501032389357641,0.49400359443835,0.486755954714762,0.508429358852364,0.491379893806093,0.497890923522619,0.513576462428392,0.892737393037499,0.886082418662892,0.890182395600629,0.890122674602934,0.908199109074962,0.903529187652265,0.904337256712926,0.902803875214698,0.896529074757919,0.904066769244352,0.511973926546618,0.509940165343815,0.497089611872037,0.50617922025034,0.507170106817964,0.497843042024256,0.491043034070694,0.489978564854264,0.515459759382553,0.493905382214381
