"","species1","species2"
"alp1",-0.207065749385421,134.906044401147
"alp2",1.27742924211066,134.680807561399
"alp3",2.08444117668306,134.244365361071
"alp4",-1.34569770262935,135.458981882729
"alp5",1.42912468881105,135.701712647468
"alp6",1.50605589215757,133.375688390374
"alp7",0.425260039865351,133.851155614325
"alp8",0.453368144215813,133.256390275307
"alp9",0.435548000906717,134.252881514683
"alp10",0.109962170955896,134.255374348882
"alp11",0.522807300246453,134.455997284897
"alp12",0.00161355514029604,133.899216333666
"alp13",0.22374610536201,134.417542124707
"alp14",1.06445881727627,136.80760279664
"alp15",1.95949405897077,134.061023932735
"alp16",0.889714505609226,133.822651675594
"alp17",0.488990494193358,133.270438102606
"alp18",0.0888045833701888,134.798660775918
"alp19",0.16282831973106,135.518323851361
"alp20",3.41583517848934,133.963128270366
"alp21",1.13408822015203,135.017057973889
"alp22",0.509314103309057,136.131152930585
"alp23",0.559452127646773,135.240801851727
"alp24",1.45958944100585,135.999658952084
"alp25",0.306279753062525,134.567657569518
"alp26",-0.448204910386472,136.446522410911
"alp27",1.57475572090073,136.696927930166
"alp28",-0.023655722963879,134.066458889055
"alp29",0.984861699635818,136.077622338113
"alp30",0.0640513988316064,134.566552275841
"alp31",2.10229754620026,134.267601633864
"alp32",0.524406921130943,134.624019090067
"alp33",0.290559962487494,135.98957784963
"alp34",0.498741939405239,133.62229086655
"alp35",-0.629093469078704,136.029915112527
"alp36",-0.167619262094186,134.743394794908
"alp37",-1.18003964894867,135.295377408901
"alp38",-0.340993192100028,134.950261045301
"alp39",0.705706141236287,136.503919877014
"alp40",0.53410245959389,134.244392963248
"alp41",2.44949626528713,134.00409675905
"alp42",-0.068642723674581,134.832348295302
"alp43",0.144635366262493,135.065478422787
"alp44",0.719376998042546,134.205813219618
"alp45",0.0056599237043351,133.820758438844
"alp46",0.031485682127951,135.22089260372
"sub1",29999.3020120609,137.217158122346
"sub2",29998.7151461443,133.212566024222
"sub3",30000.9899590137,133.835558862998
"sub4",30000.1117758333,134.783605811958
"sub5",30000.1142076714,135.65999097734
"sub6",30001.6981965238,134.765443417802
"sub7",30000.0478456195,135.179102854956
"sub8",30000.6548624099,134.09935668952
"sub9",30001.3652836695,134.157833401517
"sub10",30000.4025729624,135.582750159053
"sub11",29999.0596338704,135.417716461604
"sub12",30001.0849638942,136.274029300045
"sub13",29999.2498430669,134.429137484247
"sub14",29999.57830723,136.590932692607
"sub15",29999.1768240655,135.329605103579
"sub16",30000.4127003362,135.789437568306
"sub17",30000.6132975805,135.645857317935
"sub18",29999.5460608093,134.811466608422
"sub19",29999.3337716449,135.560698701635
"sub20",30000.3165465252,134.102851310508
"sub21",29999.9991134937,133.272053608758
"sub22",29998.0053198904,133.9385426513
"sub23",30001.2087497085,134.004779885935
"sub24",29999.5233932477,134.121928323796
"sub25",30000.5546918089,133.106341956763
"sub26",29999.6529244015,135.326125681152
"sub27",29999.4686450402,133.952975668646
"sub28",29999.9857013987,135.12650352741
"sub29",29998.801036381,134.896774988604
"sub30",30000.2316116038,135.090926319984
"sub31",29998.697390062,133.988181458455
"sub32",29998.6259110929,132.912415315065
"sub33",30002.2317652538,133.814237161789
"sub34",29999.5014273127,134.608360495645
"sub35",30001.714613923,135.005159129934
"sub36",30001.0193309905,134.90350165632
"sub37",30000.4322231401,135.620072293584
"sub38",30000.1007199852,135.153755842969
"sub39",29997.5048994066,136.156070660306
"sub40",30002.0014645042,134.660487900065
"sub41",30000.1665340338,135.910129792757
"sub42",29998.7320533064,134.162252673746
"sub43",30000.2276324936,133.696285660276
"sub44",29999.9786015148,134.733607243878
"sub45",29999.6363297676,133.63381438477
"sub46",30000.115668097,134.461237092334
"val1",69999.0904011929,134.042436459181
"val2",69999.5090289557,134.436456485419
"val3",69999.737379562,134.96151857606
"val4",70000.9582158397,135.354031073561
"val5",69998.3392690077,135.0033027811
"val6",70000.3443761546,134.644618284091
"val7",69998.7760707704,134.010515218693
"val8",70001.2824900202,134.450673488364
"val9",69999.1605813826,135.636157030261
"val10",70000.5800948571,135.716311682277
"val11",70001.6055356661,135.057473090072
"val12",70001.656007671,134.61924157455
"val13",70000.8493811549,135.065859438376
"val14",69999.6596534175,135.73299613799
"val15",70001.317391794,134.742651432448
"val16",69999.5189841292,134.767711201096
"val17",70000.3659650945,134.573289649835
"val18",69999.8516485597,134.482404313754
"val19",69999.3088098791,135.023230046783
"val20",69999.508554059,133.9727599563
"val21",69999.8965841388,133.086288110824
"val22",69999.586747698,132.33187879666
"val23",70001.6897548326,133.820680912126
"val24",69999.7455977109,135.916018103626
"val25",70000.7272860494,133.297314155433
"val26",70000.5048840608,134.594739368263
"val27",70000.3454491029,135.03829401515
"val28",70000.3118145189,134.98515676492
"val29",70000.5090225416,136.197363591899
"val30",69999.8106228464,135.399970761868
"val31",70001.5559606719,135.309465737733
"val32",70001.52889893,133.671084463071
"val33",69999.0209602983,135.180440442208
"val34",70001.0049713863,134.101112699305
"val35",69999.3233373511,134.749353023064
"val36",69999.8866247137,134.477606322911
"val37",70000.1066934352,137.005538468264
"val38",69999.5444171966,134.808664770059
"val39",70000.0546910382,135.480969169804
"val40",70000.0354486746,136.077067008203
"val41",70001.0379763979,135.154687354422
"val42",70000.9790804208,136.233305532457
"val43",70000.2231939758,134.962393537429
"val44",69999.5951243184,135.18986639653
"val45",70001.1672741069,135.332008323406
"val46",70000.025715565,134.963614270409
