"","species1","species2","species3","species4","species5","species6"
"alp1",148.792934250615,134.906044401147,134.201018691813,135.511947023627,136.337383588445,135.701705412638
"alp2",150.277429242111,134.680807561399,134.48939908287,135.254380990895,136.059149918842,134.601929000785
"alp3",151.084441176683,134.244365361071,134.282545740829,136.367721780654,135.583635458663,135.655291389634
"alp4",147.654302297371,135.458981882729,134.379462621754,135.271870730943,134.941700613889,134.07578864703
"alp5",150.429124688811,135.701712647468,133.441932941548,135.458592537888,134.885833259104,134.661828351372
"alp6",150.506055892158,133.375688390374,133.591478865585,134.214003163864,135.52631746981,136.806618082803
"alp7",149.425260039865,133.851155614325,136.082179517434,134.537801430703,135.420610589918,133.907290655679
"alp8",149.453368144216,133.256390275307,135.627605285767,134.577899431794,135.725830048401,136.055014499955
"alp9",149.435548000907,134.252881514683,133.234122117324,135.754355436058,135.716407386205,134.900034365072
"alp10",149.109962170956,134.255374348882,136.148380826354,134.468741710172,136.486615029938,134.426830047515
"alp11",149.522807300246,134.455997284897,136.488261254889,132.249431744577,133.613674976595,136.320539189034
"alp12",149.00161355514,133.899216333666,134.485675979587,134.95472628275,135.335385369106,134.31827364077
"alp13",149.223746105362,134.417542124707,135.503672117437,135.253571039176,136.61491728794,136.591932972927
"alp14",150.064458817276,136.80760279664,135.758260261193,133.719561127847,133.724801769017,135.055395508973
"alp15",150.959494058971,134.061023932735,135.5759139618,135.771006039783,134.629191632156,134.582144118552
"alp16",149.889714505609,133.822651675594,135.6308700806,135.595299222661,135.51325030592,134.198666496378
"alp17",149.488990494193,133.270438102606,134.525764456767,134.410539201224,134.73612871375,135.361478491914
"alp18",149.08880458337,134.798660775918,134.95825897095,133.566255588384,135.319184120641,133.608410991883
"alp19",149.162828319731,135.518323851361,132.674660811334,134.536786271252,133.938957024525,133.31040493953
"alp20",152.415835178489,133.963128270366,134.414842450066,135.141803663987,132.989411214387,135.607876842716
"alp21",150.134088220152,135.017057973889,137.174660916483,135.984960498526,136.127015677541,133.814331334595
"alp22",149.509314103309,136.131152930585,134.692373619692,135.06899789202,134.24581707188,132.293559242168
"alp23",149.559452127647,135.240801851727,135.361878427786,132.897164295763,134.919290236203,135.594926469088
"alp24",150.459589441006,135.999658952084,135.255331986757,134.154095363257,136.032964368095,135.033767783519
"alp25",149.306279753063,134.567657569518,135.576918072694,133.937928929504,134.911811490472,134.247903916839
"alp26",148.551795089614,136.446522410911,135.881468765172,134.717377190871,135.481334456542,133.659030908417
"alp27",150.574755720901,136.696927930166,135.74188427203,135.908916439806,134.630356509152,135.834405905741
"alp28",148.976344277036,134.066458889055,133.912335801103,134.242351632895,134.105207424802,136.252635650772
"alp29",149.984861699636,136.077622338113,133.912556640462,134.678886095169,134.650497732527,135.740903691158
"alp30",149.064051398832,134.566552275841,135.890921440343,134.456601314098,135.575560428662,136.459495317944
"alp31",151.1022975462,134.267601633864,135.664522036326,134.067024523304,136.287650709095,135.045311239662
"alp32",149.524406921131,134.624019090067,135.060653939852,135.524519898903,134.72652882704,133.7089425013
"alp33",149.290559962487,135.98957784963,133.732582441647,133.91348036532,135.219960316839,135.12263445189
"alp34",149.498741939405,133.62229086655,134.284718881956,134.570007798143,134.47089598489,135.989655864282
"alp35",148.370906530921,136.029915112527,136.935820067452,135.44945098696,135.583555235,134.824724746648
"alp36",148.832380737906,134.743394794908,134.106415560833,133.620405438186,135.595462392065,134.520590849346
