"","species1","species2","species3","species4","species5","species6","species7","species8","species9","species10","species11","species12","species13","species14","species15","species16","species17","species18","species19","species20","species21","species22","species23","species24","species25","species26","species27","species28","species29","species30","species31","species32","species33","species34","species35","species36","species37","species38","species39","species40","species41","species42","species43","species44","species45","species46","species47","species48","species49","species50","species51","species52","species53","species54","species55","species56","species57","species58","species59","species60","species61","species62","species63","species64","species65","species66","species67","species68","species69","species70","species71","species72","species73","species74","species75","species76","species77","species78","species79","species80","species81","species82","species83","species84","species85","species86","species87","species88","species89","species90"
"alp1",136.292934250615,137.406044401147,136.701018691813,138.011947023627,138.837383588445,138.201705412638,137.145860887078,137.918974491218,136.431710155292,136.845918625104,136.265045460816,138.113411819545,138.299094946965,137.952182801207,134.724302408805,139.508906571887,136.532669176914,137.028124188307,138.183719102911,137.405679886929,137.314786023612,137.950237887258,136.511858512853,137.851973831098,137.012067332041,135.150862718279,136.988067477643,137.667536272743,137.162512001612,136.540649779457,134.548324540219,135.7832013283,137.860951185278,135.970290963195,135.752264366748,135.707914645675,136.874099856299,135.795480517217,133.881216712274,135.033018907121,133.940482629833,135.93055489033,134.005831341412,134.596819433501,134.359080534361,134.519157160602,135.13649362728,134.794325096611,135.740791747216,135.271589277639,134.192854491607,136.185421463315,135.770462850943,134.68973585522,133.782119401131,135.329915299701,135.079619685878,134.385839827218,134.217652555185,135.304737057287,135.163768073456,135.424181893486,136.413593273093,137.090153059209,133.759647317906,136.525911918689,136.085086108441,134.631823418359,133.318787889037,136.118678021571,134.362989718683,136.778526013725,138.405018000481,133.689604041064,136.188830987451,133.649889803398,135.766941224978,135.672281034551,133.628676991054,133.873126316541,134.639799337457,134.939516561446,136.085244174866,136.790911978405,134.872878325077,134.410531710462,133.317085387881,135.885131452879,134.804949824196,135.536164934842
"alp2",137.777429242111,137.180807561399,136.98939908287,137.754380990895,138.559149918842,137.101929000785,136.824705643127,137.071736378474,137.51559030415,139.090258422874,137.410013023848,135.736029585206,135.40659706935,137.17799137281,137.843890685695,138.772963801352,138.874029267801,137.481608870682,135.672221215607,138.461993979247,138.933162457246,135.769527612568,137.283838814205,137.889136500796,136.865059386896,137.599686092859,138.045956896686,137.573923500729,137.122441451046,135.793312719937,136.373806409366,135.271579234431,136.072859949674,134.897560734712,134.220468244376,135.361433887492,136.250216279703,135.454620745471,134.453126054192,135.030617278014,137.301239822907,136.029092585834,135.272622586281,134.258498250279,132.81525246733,134.35322590954,136.36882103935,135.050120072684,134.478668072837,135.499027044199,134.364035465319,136.470369220039,133.310567337708,134.895266318807,137.580559946643,135.691326526233,134.668765496466,136.239435742261,135.53628202889,134.419748430927,135.799136489266,136.3966650874,134.083282516285,135.137295180791,135.958265977043,136.450133813651,135.349414281869,134.61770159732,136.232606919562,135.336525112854,136.024460509166,135.685527360816,134.361304706669,135.489713330638,134.789233445098,134.491577988618,133.536653676972,135.071650418139,136.174513315372,135.084462892966,135.485583035675,134.267397921067,134.732364296953,134.090844808321,132.725696125458,135.823636031684,132.966260242709,135.329472771862,134.106580472408,134.365870023615
"alp3",138.584441176683,136.744365361071,136.782545740829,138.867721780654,138.083635458663,138.155291389634,137.092078725452,137.668618136077,136.788858331236,137.479464205968,137.776477945184,137.946814673267,138.055701519248,137.316505053342,137.074642122525,137.258243119003,137.625407267461,137.638408986991,138.111062634609,136.582752470504,137.61513428122,136.086370195627,137.836456769906,138.21121685685,138.710538680595,135.747697579231,138.405014967135,138.35930721654,138.598683477536,136.131560832142,135.42900811247,135.595054955158,136.061600141824,134.392358838511,136.341326102162,134.296617852305,133.905904774478,136.167349364815,133.863310348596,137.723128555634,133.663742736882,135.798899243577,134.910145216851,134.41727815331,136.170973055637,135.946134935697,135.07307040341,134.468231940378,134.177849161478,134.594440908186,134.664080153298,134.617019294771,136.035670387404,135.283018930847,134.787517035385,134.580370245647,135.170377258744,135.21066281382,135.208894858349,133.817182895594,134.804604392505,135.435189869663,137.265361720326,135.772931782638,135.805133164047,134.95452869317,135.774966414906,135.142515062591,134.542043186639,135.982707825984,136.307449118179,132.895011546877,134.079999317757,133.854339482417,133.072353279041,134.591094300163,134.709848810187,132.048339350491,136.559481515642,135.575947684577,135.854151438643,136.140762683418,135.999465758506,134.730878906386,135.01030001487,135.243261980594,135.228189424001,135.647912377991,135.722353119242,135.223402019818
"alp4",135.154302297371,137.958981882729,136.879462621754,137.771870730943,137.441700613889,136.57578864703,138.807486043018,136.241458953199,137.636808940256,138.592004783937,136.677496130125,138.78086135634,137.740073954713,137.690229586551,137.272302209354,138.260286410952,136.103689407996,137.776296557408,136.193610779527,138.45156221005,137.485567172224,138.102774919812,138.724821492705,134.353909096764,136.210880543325,137.381821075612,136.869687928436,138.971780301758,137.663068040971,137.786403328732,134.973079090316,134.441513299353,133.598102123701,136.702735224156,135.765740346908,135.679877602735,135.3434766906,133.824013292974,132.860854227963,133.613187010363,136.542212164389,135.849055550249,134.609870750022,135.738116052303,134.839327136918,135.619832739974,137.153240633,135.831483853473,135.429634666593,135.186461469825,134.762531908575,134.508775243912,135.19400513884,134.812981615894,132.719506544498,134.871412415657,133.816743377035,134.936523506646,134.119314333117,133.651666937832,135.75828181283,136.875384859209,135.092979982157,135.02844643241,134.649591594936,134.845805876389,133.765807544433,134.643545820221,134.429230926807,133.300056559219,135.49464024821,136.456039184621,135.495612535415,135.602229343972,136.926972582374,135.871250845691,133.275038241396,133.128634833734,135.499742524685,135.400819489639,133.375457228143,135.485082440547,135.173669745643,135.332315455852,134.277239000178,135.90851636521,134.552089801097,133.451013054995,134.335282796892,133.251884904573
"alp5",137.929124688811,138.201712647468,135.941932941548,137.958592537888,137.385833259104,137.161828351372,138.199638006812,135.06674886294,138.095739211649,138.267155062276,136.98703386496,136.722598382121,137.309004883059,138.344162008928,137.220067588752,137.944511313488,137.508069187501,136.153577645678,137.526841472596,136.293670535019,138.270479915879,137.019696995844,139.351657818193,137.466247816901,138.297372789249,138.020523163789,137.647893865798,137.195087793102,138.381940649674,138.442444035453,135.580489141508,134.918739998125,135.007334954237,134.030211878602,136.983162334677,135.488982395998,133.648092710358,134.304865129239,134.76669356065,134.958238886176,134.965070892027,134.966083549074,135.085033024957,134.880188527851,135.466577267697,135.270018442321,135.198535212977,134.642347586551,135.632176976727,134.544282367742,135.390144401839,134.772714413865,135.023499019971,134.671923498267,134.108228243463,133.585711932756,134.238709837341,134.977350785203,136.00588183605,135.982940948792,133.57084314267,135.323051242544,135.778768207985,136.315897004649,137.053655034094,135.582928140986,135.405259511916,134.94943659795,136.705784910422,134.703365273377,131.492892187788,136.494312498678,135.454295969342,134.980296052523,134.775022689071,134.212335756957,135.487227718731,134.695258860406,135.529520069534,134.090473615127,135.757408724534,134.525750044486,137.408598135786,134.219231847743,135.101276639221,134.732387157753,135.143266620618,135.325837455247,135.461174737494,134.089848060853
"alp6",138.006055892158,135.875688390374,136.091478865585,136.714003163864,138.02631746981,139.306618082803,139.162898591854,140.015219908467,138.162280168417,137.093720528061,137.735832883856,137.653634696639,136.798509271484,139.021600903866,137.232140694731,136.462191177,137.896163723153,135.810376792239,138.218160492034,138.823541534547,137.975998647677,137.764154207564,137.167529146329,137.536178267659,136.726693752649,136.741765131492,138.541457955186,137.723918906642,136.005312594882,137.092881431726,135.311167349128,136.539804201851,133.553231640391,133.135583033491,135.157655341586,135.912733413119,136.335172511858,135.047323511612,134.728029342635,134.810703763145,134.935404028327,137.2335866019,134.095999798983,135.459912127753,136.019844395321,135.192124463267,135.576984283001,134.847140912918,135.178859162102,137.039521345417,134.994301144575,135.30501392533,133.415671452506,136.851112385275,135.843161203347,134.767328305256,134.212234754533,135.075803353636,134.640361752739,134.53038295925,134.772302579093,134.058303692182,134.751006065214,136.635714999975,134.992583500578,134.559677076275,135.488913805507,134.340925716157,136.604562482441,134.938582152761,136.09616699837,134.668904398773,135.286632169348,135.388253661092,136.323348777666,135.592533792769,134.435977657748,135.532326167221,134.940973295864,135.018013902372,135.238239290037,134.099188586195,134.446409772155,133.540215872656,134.801594811364,135.176112264541,134.690202445606,136.503600501768,134.562456662031,134.625810718417
"alp7",136.925260039865,136.351155614325,138.582179517434,137.037801430703,137.920610589918,136.407290655679,138.759829232582,137.119058396119,137.558036878349,138.63173797168,138.220837601045,136.711571021179,135.634896910009,137.229306249976,138.153392460503,138.471578903628,135.640389258137,137.853877240486,137.923986660803,137.507706829061,137.509735750062,138.069762856291,137.753393451215,138.057185948728,138.944016075517,136.903632590367,138.731909941827,136.714936582255,137.505289113522,137.706649392752,135.024756839794,135.287943033165,132.270352600262,135.468316863804,135.317164260699,134.957419075554,133.342207509028,135.460866669257,135.264079906169,134.197267482625,135.732798472067,134.224772339138,134.578725067283,133.977858125357,134.089461546884,136.868332995493,134.779624295663,135.433662724056,134.837264163059,134.230021415995,135.652908688839,134.814450678464,135.102613207205,134.691693211367,134.225232517152,134.393069648232,134.754261825996,133.868218233927,135.999480571726,135.021621327812,135.059268546136,137.329365007214,133.539984970542,135.407149785662,134.033025907365,134.5117175135,133.356861522142,135.798644272766,136.036899533243,133.674120431219,137.287574054623,136.311418573597,134.284854228016,135.400874199927,135.511801293818,136.48506643548,135.073381109654,135.525375651964,133.763955469373,136.546520785196,134.479126425923,133.700210356358,135.672995000187,134.69813527888,132.632176821702,135.224278704815,135.394943170123,134.726937858503,133.530093057004,136.08913990985
"alp8",136.953368144216,135.756390275307,138.127605285767,137.077899431794,138.225830048401,138.555014499955,136.231325665031,136.569153966624,137.800226397267,137.193987239186,139.022507429971,136.229642397048,137.972489582305,136.563978759575,137.119342257586,136.992459385968,138.180119800491,136.421810414698,136.922806226704,138.597360761688,137.84321441446,138.768934701013,136.789085048103,137.913114727334,138.072539973501,137.798980982365,137.503496885323,136.760532118572,136.392495538316,137.689768007481,134.569749223589,133.897331658885,136.340234507943,134.829413950609,134.095125170057,137.442359439145,134.062783165014,136.371027702256,136.390530824645,134.704645880003,135.742105644289,136.053620033587,134.719856270838,136.352358463862,134.888459218715,135.170382281857,134.875400813614,134.785634457274,134.640801188557,135.054754507935,136.209440041533,134.526579503086,133.988607168892,134.328826177123,136.206711430554,134.820970671123,134.617700443062,137.303618670285,134.827427475506,134.727906250161,135.336551000084,137.046440434552,134.852676996171,134.236499358148,136.778624982931,133.942960476706,136.182049374305,135.361076742154,133.876149815015,133.803043396712,136.517101219026,136.127618733496,134.881264642847,133.472132089185,133.175529732717,135.460144935066,136.486261378924,135.662090659424,134.672145070918,135.518493844182,135.240375658636,134.711691120221,137.565637408021,135.069089774226,136.116925821334,134.853899584121,134.91771980076,134.640630071411,135.301030062594,134.271334372361
"alp9",136.935548000907,136.752881514683,135.734122117324,138.254355436058,138.216407386205,137.400034365072,138.546823749425,137.081494917775,136.268582831596,136.836998089591,139.359174292128,137.152509304764,140.091719476012,138.144537048926,136.426644620358,139.150731912788,136.27311629131,138.780436193575,136.822613592201,137.333383364701,136.050456826067,138.827369175806,135.551054973943,139.256359637196,136.416391251049,137.07018516062,136.521841211452,138.161824484312,136.81425344407,136.343186640628,134.414905664518,135.341436401428,135.829144811385,134.017301515534,134.983606981536,134.654607623254,135.516351445614,134.269085491812,134.519595022755,133.96594852071,133.344474632349,133.341564322596,135.899182483135,135.411986683365,133.206907676135,134.12628300199,134.695088152923,135.651565341481,135.947444310417,133.794664204301,134.339968878583,135.398636763385,135.624511134016,134.233291084913,136.719039526376,136.836055127597,136.07794728256,135.633017407857,134.428456170516,136.155445688079,133.457207766185,132.863576086079,135.123242868035,134.597443851822,133.590121529401,134.237145758511,135.234129808271,134.996211899225,135.224207234807,136.06487758408,135.278152503108,132.930009150476,134.584483886265,135.696040041559,134.927508146109,135.356283103662,135.545807250147,133.885866420756,134.351161888994,135.936903871331,134.388147724774,136.477510500027,133.928726377276,134.316209679111,137.368122741512,134.666267985873,135.283831557259,135.170438962403,134.598511946393,135.010783740097
"alp10",136.609962170956,136.755374348882,138.648380826354,136.968741710172,138.986615029938,136.926830047515,137.046707483927,136.395266387793,136.949927087693,137.887990287152,135.905128265427,136.854730311621,138.530042985818,136.957426846464,137.735811372174,138.951537244439,136.483720625224,138.867713574514,136.631641448165,138.012084611876,138.319246628909,137.969528218066,138.529779493578,136.017947761597,137.192492619262,137.189884348839,137.464445370924,137.156871045825,135.795642008603,136.045509554003,135.377134714753,135.374878489379,133.389795226968,136.638874251667,135.336240380284,133.806476575374,134.830447948709,134.747723234625,136.855830765528,134.852032503669,134.809657758878,136.197975007159,134.638760627613,133.543578662621,134.204173387272,134.628881630996,135.22978719228,134.9996130436,134.125468867745,137.303875175926,134.195795693,135.942051704245,134.782917004852,135.86444119943,133.642094863959,133.941984480843,135.043813508506,135.376171761914,135.226068612696,134.71119791952,134.457523876378,135.767086760477,133.016945319809,133.464756170397,133.629724199069,135.133469569386,134.194118959865,135.633366564124,133.708077463667,133.730251708772,134.865255755459,135.9478176444,135.82305126067,133.993850779703,134.985387653724,134.667332832674,133.290167863019,135.853384051153,135.25756258961,134.589938864649,134.402966621856,135.462256419082,136.384216766377,133.902539292692,136.185245364658,134.125925836359,134.761691212628,134.43850174837,135.091396680747,135.053298240853
